99.2,21,50,8.359,4.787
99.2,21,60,8.143,4.629
99.2,21,70,7.787,4.435
99.4,21,0,4.842,2.863
99.4,21,2.5,4.987,2.946
99.4,21,5,5.442,3.212
99.4,21,7.5,5.794,3.412
99.4,21,10,6.005,3.523
99.4,21,15,6.039,3.542
99.4,21,20,6.188,3.621
99.4,21,25,6.083,3.567
99.4,21,30,6.461,3.758
99.4,21,35,7.677,4.387
99.4,21,40,8.131,4.627
99.4,21,50,8.321,4.764
99.4,21,60,8.121,4.62
99.4,21,70,7.776,4.431
99.6,21,0,4.885,2.889
99.6,21,2.5,4.953,2.927
99.6,21,5,5.392,3.184
99.6,21,7.5,5.764,3.396
99.6,21,10,5.963,3.5
99.6,21,15,6.042,3.543
99.6,21,20,6.158,3.604
99.6,21,25,6.106,3.578
99.6,21,30,6.432,3.744
99.6,21,35,7.563,4.328
99.6,21,40,8.107,4.613
99.6,21,50,8.283,4.741
99.6,21,60,8.102,4.611
99.6,21,70,7.769,4.426
99.8,21,0,4.893,2.894
99.8,21,2.5,5.147,3.041
99.8,21,5,5.569,3.287
99.8,21,7.5,5.836,3.435
99.8,21,10,6.022,3.532
99.8,21,15,6.021,3.533
99.8,21,20,6.19,3.622
99.8,21,25,6.076,3.562
99.8,21,30,6.569,3.813
99.8,21,35,7.815,4.457
99.8,21,40,8.099,4.609
99.8,21,50,8.267,4.735
99.8,21,60,8.051,4.58
99.8,21,70,7.716,4.4
100,21,0,4.934,2.918
100,21,2.5,5.137,3.036
100,21,5,5.542,3.271
100,21,7.5,5.816,3.424
100,21,10,5.99,3.515
100,21,15,6.023,3.534
100,21,20,6.167,3.609
100,21,25,6.095,3.572
100,21,30,6.556,3.808
100,21,35,7.736,4.418
100,21,40,8.077,4.597
100,21,50,8.231,4.714
100,21,60,8.03,4.569
100,21,70,7.705,4.394
100.2,21,0,4.966,2.937
100.2,21,2.5,5.218,3.083
100.2,21,5,5.604,3.307
100.2,21,7.5,5.833,3.434
100.2,21,10,5.994,3.518
100.2,21,15,6.018,3.531
100.2,21,20,6.168,3.611
100.2,21,25,6.098,3.573
100.2,21,30,6.609,3.834
100.2,21,35,7.807,4.454
100.2,21,40,8.064,4.59
100.2,21,50,8.204,4.699
100.2,21,60,8,4.551
100.2,21,70,7.677,4.378
100.4,21,0,5.01,2.963
100.4,21,2.5,5.214,3.08
100.4,21,5,5.582,3.293
100.4,21,7.5,5.815,3.424
100.4,21,10,5.963,3.503
100.4,21,15,6.017,3.531
100.4,21,20,6.149,3.6
100.4,21,25,6.113,3.581
100.4,21,30,6.595,3.827
100.4,21,35,7.737,4.419
100.4,21,40,8.044,4.581
100.4,21,50,8.17,4.679
100.4,21,60,7.982,4.544
100.4,21,70,7.667,4.375
100.6,21,0,5.041,2.981
100.6,21,2.5,5.316,3.139
100.6,21,5,5.664,3.34
100.6,21,7.5,5.839,3.436
100.6,21,10,5.974,3.507
100.6,21,15,6.016,3.531
100.6,21,20,6.155,3.603
100.6,21,25,6.117,3.584
100.6,21,30,6.669,3.866
100.6,21,35,7.851,4.478
100.6,21,40,8.036,4.576
100.6,21,50,8.146,4.667
100.6,21,60,7.95,4.523
100.6,21,70,7.633,4.356
100.8,21,0,5.09,3.012
100.8,21,2.5,5.31,3.138
100.8,21,5,5.638,3.326
100.8,21,7.5,5.819,3.426
100.8,21,10,5.94,3.49
100.8,21,15,6.014,3.529
100.8,21,20,6.138,3.594
100.8,21,25,6.132,3.59
100.8,21,30,6.647,3.852
100.8,21,35,7.774,4.436
100.8,21,40,8.017,4.566
100.8,21,50,8.113,4.647
100.8,21,60,7.936,4.519
100.8,21,70,7.626,4.352
101,21,0,5.134,3.039
101,21,2.5,5.323,3.146
